ewoc_code;level_1;level_2;level_3;level_4;level_5;definition;label_full;LC_code;LC_label;sampling_label;sampling_label_v0;finetune_class
00-00-00-000-0;unknown;;;;;;unknown;0;unknown;unknown;;
10-00-00-000-0;cropland_unspecified;;;;;Unknown cropped land, either annual or perennial;cropland_unspecified;10;cropland_unspecified;cropland_unspecified;cropland_unspecified;
11-00-00-000-0;temporary_crops;;;;;Unspecified arable crops (harvested once every year);temporary_crops;11;temporary_crops;temporary_crops;temporary_crops;
11-01-00-000-0;temporary_crops;cereals;unspecified_cereal;unspecified_cereal;;;unspecified_cereal;11;temporary_crops;cereals;cereals;
11-01-00-000-1;temporary_crops;cereals;unspecified_cereal;unspecified_cereal;unspecified_winter_cereal;;unspecified_winter_cereal;11;temporary_crops;cereals;cereals;
11-01-00-000-2;temporary_crops;cereals;unspecified_cereal;unspecified_cereal;unspecified_spring_cereal;;unspecified_spring_cereal;11;temporary_crops;spring_cereals;cereals;
11-01-01-000-0;temporary_crops;cereals;wheat;unspecified_wheat;;Triticum genus;unspecified_wheat;11;temporary_crops;wheat;wheat;wheat
11-01-01-000-1;temporary_crops;cereals;wheat;unspecified_wheat;unspecified_winter_wheat;;unspecified_winter_wheat;11;temporary_crops;wheat;wheat;wheat
11-01-01-000-2;temporary_crops;cereals;wheat;unspecified_wheat;unspecified_spring_wheat;;unspecified_spring_wheat;11;temporary_crops;spring_wheat;wheat;spring_wheat
11-01-01-000-3;temporary_crops;cereals;wheat;unspecified_wheat;fodder_wheat;wheat cut early for fodder;fodder_wheat;11;temporary_crops;wheat;wheat;wheat
11-01-01-000-4;temporary_crops;cereals;wheat;unspecified_wheat;fodder_winter_wheat;wheat cut early for fodder;fodder_winter_wheat;11;temporary_crops;wheat;wheat;wheat
11-01-01-000-5;temporary_crops;cereals;wheat;unspecified_wheat;fodder_spring_wheat;wheat cut early for fodder;fodder_spring_wheat;11;temporary_crops;spring_wheat;wheat;spring_wheat
11-01-01-001-0;temporary_crops;cereals;wheat;common_soft_wheat;;Triticum aestivum;common_soft_wheat;11;temporary_crops;wheat;wheat;wheat
11-01-01-001-1;temporary_crops;cereals;wheat;common_soft_wheat;winter_common_soft_wheat;;winter_common_soft_wheat;11;temporary_crops;wheat;wheat;wheat
11-01-01-001-2;temporary_crops;cereals;wheat;common_soft_wheat;spring_common_soft_wheat;;spring_common_soft_wheat;11;temporary_crops;spring_wheat;wheat;spring_wheat
11-01-01-002-0;temporary_crops;cereals;wheat;durum_hard_wheat;;Triticum durum;durum_hard_wheat;11;temporary_crops;wheat;wheat;wheat
11-01-01-002-1;temporary_crops;cereals;wheat;durum_hard_wheat;winter_durum_hard_wheat;;winter_durum_hard_wheat;11;temporary_crops;wheat;wheat;wheat
11-01-01-002-2;temporary_crops;cereals;wheat;durum_hard_wheat;spring_durum_hard_wheat;;spring_durum_hard_wheat;11;temporary_crops;spring_wheat;wheat;spring_wheat
11-01-01-003-0;temporary_crops;cereals;wheat;khorasan_wheat;;Triticum turanicum;khorasan_wheat;11;temporary_crops;wheat;wheat;wheat
11-01-01-003-1;temporary_crops;cereals;wheat;khorasan_wheat;winter_khorasan_wheat;;winter_khorasan_wheat;11;temporary_crops;wheat;wheat;wheat
11-01-01-003-2;temporary_crops;cereals;wheat;khorasan_wheat;spring_khorasan_wheat;;spring_khorasan_wheat;11;temporary_crops;spring_wheat;wheat;spring_wheat
11-01-01-004-0;temporary_crops;cereals;wheat;spelt;;Triticum spelta;spelt;11;temporary_crops;wheat;wheat;wheat
11-01-01-004-1;temporary_crops;cereals;wheat;spelt;winter_spelt;;winter_spelt;11;temporary_crops;wheat;wheat;wheat
11-01-01-004-2;temporary_crops;cereals;wheat;spelt;spring_spelt;;spring_spelt;11;temporary_crops;spring_wheat;wheat;spring_wheat
11-01-01-005-0;temporary_crops;cereals;wheat;emmer;;Triticum dicoccum;emmer;11;temporary_crops;wheat;wheat;wheat
11-01-01-005-1;temporary_crops;cereals;wheat;emmer;winter_emmer;;winter_emmer;11;temporary_crops;wheat;wheat;wheat
11-01-01-005-2;temporary_crops;cereals;wheat;emmer;spring_emmer;;spring_emmer;11;temporary_crops;spring_wheat;wheat;spring_wheat
11-01-01-006-0;temporary_crops;cereals;wheat;einkorn;;Triticum monococcum;einkorn;11;temporary_crops;wheat;wheat;wheat
11-01-01-006-1;temporary_crops;cereals;wheat;einkorn;winter_einkorn;;winter_einkorn;11;temporary_crops;wheat;wheat;wheat
11-01-01-006-2;temporary_crops;cereals;wheat;einkorn;spring_einkorn;;spring_einkorn;11;temporary_crops;spring_wheat;wheat;spring_wheat
11-01-01-007-0;temporary_crops;cereals;wheat;einkorn_emmer;;Triticum monococcum OR Triticum dicoccum;einkorn_emmer;11;temporary_crops;wheat;wheat;wheat
11-01-01-007-1;temporary_crops;cereals;wheat;einkorn_emmer;winter_einkorn_emmer;;winter_einkorn_emmer;11;temporary_crops;wheat;wheat;wheat
11-01-01-007-2;temporary_crops;cereals;wheat;einkorn_emmer;spring_einkorn_emmer;;spring_einkorn_emmer;11;temporary_crops;spring_wheat;wheat;spring_wheat
11-01-02-000-0;temporary_crops;cereals;barley;unspecified_barley;;Hordeum genus;unspecified_barley;11;temporary_crops;barley;barley;barley
11-01-02-000-1;temporary_crops;cereals;barley;unspecified_barley;winter_barley;;winter_barley;11;temporary_crops;barley;barley;barley
11-01-02-000-2;temporary_crops;cereals;barley;unspecified_barley;spring_barley;;spring_barley;11;temporary_crops;spring_barley;barley;spring_barley
11-01-02-000-3;temporary_crops;cereals;barley;unspecified_barley;fodder_barley;;fodder_barley;11;temporary_crops;barley;barley;barley
11-01-02-000-4;temporary_crops;cereals;barley;unspecified_barley;six-row_barley;;six-row_barley;11;temporary_crops;barley;barley;barley
11-01-02-000-5;temporary_crops;cereals;barley;unspecified_barley;two-row_barley;;two-row_barley;11;temporary_crops;barley;barley;barley
11-01-02-000-6;temporary_crops;cereals;barley;unspecified_barley;fodder_winter_barley;;fodder_winter_barley;11;temporary_crops;barley;barley;barley
11-01-02-000-7;temporary_crops;cereals;barley;unspecified_barley;fodder_spring_barley;;fodder_spring_barley;11;temporary_crops;spring_barley;barley;spring_barley
11-01-02-001-0;temporary_crops;cereals;barley;common_barley;;Hordeum vulgare;common_barley;11;temporary_crops;barley;barley;barley
11-01-02-001-1;temporary_crops;cereals;barley;common_barley;winter_common_barley;;winter_common_barley;11;temporary_crops;barley;barley;barley
11-01-02-001-2;temporary_crops;cereals;barley;common_barley;spring_common_barley;;spring_common_barley;11;temporary_crops;spring_barley;barley;spring_barley
11-01-02-002-0;temporary_crops;cereals;barley;other_barley;;other Hordeum species than H. vulgare;other_barley;11;temporary_crops;barley;barley;barley
11-01-02-002-1;temporary_crops;cereals;barley;other_barley;winter_other_barley;;winter_other_barley;11;temporary_crops;barley;barley;barley
11-01-02-002-2;temporary_crops;cereals;barley;other_barley;spring_other_barley;;spring_other_barley;11;temporary_crops;spring_barley;barley;spring_barley
11-01-03-000-0;temporary_crops;cereals;rye;unspecified_rye;;Secale genus;unspecified_rye;11;temporary_crops;rye;rye;rye
11-01-03-000-1;temporary_crops;cereals;rye;unspecified_rye;winter_rye;;winter_rye;11;temporary_crops;rye;rye;rye
11-01-03-000-2;temporary_crops;cereals;rye;unspecified_rye;spring_rye;;spring_rye;11;temporary_crops;spring_rye;rye;spring_rye
11-01-03-000-3;temporary_crops;cereals;rye;unspecified_rye;fodder_rye;rye cut early for fodder;fodder_rye;11;temporary_crops;rye;rye;rye
11-01-03-000-4;temporary_crops;cereals;rye;unspecified_rye;non_fodder_rye;unspecified rye, but non-fodder;non_fodder_rye;11;temporary_crops;rye;rye;rye
11-01-03-000-5;temporary_crops;cereals;rye;unspecified_rye;fodder_winter_rye;;fodder_winter_rye;11;temporary_crops;rye;rye;rye
11-01-03-000-6;temporary_crops;cereals;rye;unspecified_rye;fodder_spring_rye;;fodder_spring_rye;11;temporary_crops;spring_rye;rye;spring_rye
11-01-03-001-0;temporary_crops;cereals;rye;common_rye;;Secale cereale;common_rye;11;temporary_crops;rye;rye;rye
11-01-03-001-1;temporary_crops;cereals;rye;common_rye;winter_common_rye;;winter_common_rye;11;temporary_crops;rye;rye;rye
