ec_code,cropland_name,landcover_name,cropgroup_name,croptype_name,cropland_label,landcover_label,cropgroup_label,croptype_label
00-00-00-000-0,unknown,unknown,unknown,unknown,-1,-1,-1,-1
10-00-00-000-0,cropland_unspecified,cropland_unspecified,cropland_unspecified,cropland_unspecified,-1,-1,-1,-1
11-00-00-000-0,temporary_crops,temporary_crops,temporary_crops,temporary_crops,11,110000000,110000000,110000000
11-01-00-000-0,temporary_crops,cereals,cereals,cereals,11,110100000,110100000,110100000
11-01-00-000-1,temporary_crops,cereals,cereals,cereals,11,110100000,110100000,110100000
11-01-00-000-2,temporary_crops,cereals,cereals,cereals,11,110100000,110100000,110100000
11-01-01-000-0,temporary_crops,cereals,wheat,wheat,11,110100000,110101000,110101000
11-01-01-000-1,temporary_crops,cereals,wheat,wheat,11,110100000,110101000,110101000
11-01-01-000-2,temporary_crops,cereals,wheat,wheat,11,110100000,110101000,110101000
11-01-01-000-3,temporary_crops,cereals,wheat,wheat,11,110100000,110101000,110101000
11-01-01-001-0,temporary_crops,cereals,wheat,wheat,11,110100000,110101000,110101000
11-01-01-001-1,temporary_crops,cereals,wheat,wheat,11,110100000,110101000,110101000
11-01-01-001-2,temporary_crops,cereals,wheat,wheat,11,110100000,110101000,110101000
11-01-01-002-0,temporary_crops,cereals,wheat,wheat,11,110100000,110101000,110101000
11-01-01-002-1,temporary_crops,cereals,wheat,wheat,11,110100000,110101000,110101000
11-01-01-002-2,temporary_crops,cereals,wheat,wheat,11,110100000,110101000,110101000
11-01-01-003-0,temporary_crops,cereals,wheat,wheat,11,110100000,110101000,110101000
11-01-01-003-1,temporary_crops,cereals,wheat,wheat,11,110100000,110101000,110101000
11-01-01-003-2,temporary_crops,cereals,wheat,wheat,11,110100000,110101000,110101000
11-01-01-004-0,temporary_crops,cereals,wheat,wheat,11,110100000,110101000,110101000
11-01-01-004-1,temporary_crops,cereals,wheat,wheat,11,110100000,110101000,110101000
11-01-01-004-2,temporary_crops,cereals,wheat,wheat,11,110100000,110101000,110101000
11-01-01-005-0,temporary_crops,cereals,wheat,wheat,11,110100000,110101000,110101000
11-01-01-005-1,temporary_crops,cereals,wheat,wheat,11,110100000,110101000,110101000
11-01-01-005-2,temporary_crops,cereals,wheat,wheat,11,110100000,110101000,110101000
11-01-01-006-0,temporary_crops,cereals,wheat,wheat,11,110100000,110101000,110101000
11-01-01-006-1,temporary_crops,cereals,wheat,wheat,11,110100000,110101000,110101000
11-01-01-006-2,temporary_crops,cereals,wheat,wheat,11,110100000,110101000,110101000
11-01-01-007-0,temporary_crops,cereals,wheat,wheat,11,110100000,110101000,110101000
11-01-01-007-1,temporary_crops,cereals,wheat,wheat,11,110100000,110101000,110101000
11-01-01-007-2,temporary_crops,cereals,wheat,wheat,11,110100000,110101000,110101000
11-01-02-000-0,temporary_crops,cereals,barley,barley,11,110100000,110102000,110102000
11-01-02-000-1,temporary_crops,cereals,barley,barley,11,110100000,110102000,110102000
11-01-02-000-2,temporary_crops,cereals,barley,barley,11,110100000,110102000,110102000
11-01-02-000-3,temporary_crops,cereals,barley,barley,11,110100000,110102000,110102000
11-01-02-000-4,temporary_crops,cereals,barley,barley,11,110100000,110102000,110102000
11-01-02-000-5,temporary_crops,cereals,barley,barley,11,110100000,110102000,110102000
11-01-02-001-0,temporary_crops,cereals,barley,barley,11,110100000,110102000,110102000
11-01-02-001-1,temporary_crops,cereals,barley,barley,11,110100000,110102000,110102000
11-01-02-001-2,temporary_crops,cereals,barley,barley,11,110100000,110102000,110102000
11-01-02-002-0,temporary_crops,cereals,barley,barley,11,110100000,110102000,110102000
11-01-02-002-1,temporary_crops,cereals,barley,barley,11,110100000,110102000,110102000
11-01-02-002-2,temporary_crops,cereals,barley,barley,11,110100000,110102000,110102000
11-01-03-000-0,temporary_crops,cereals,rye,rye,11,110100000,110103000,110103000
11-01-03-000-1,temporary_crops,cereals,rye,rye,11,110100000,110103000,110103000
11-01-03-000-2,temporary_crops,cereals,rye,rye,11,110100000,110103000,110103000
11-01-03-000-3,temporary_crops,cereals,rye,rye,11,110100000,110103000,110103000
11-01-03-001-0,temporary_crops,cereals,rye,rye,11,110100000,110103000,110103000
11-01-03-001-1,temporary_crops,cereals,rye,rye,11,110100000,110103000,110103000
11-01-03-001-2,temporary_crops,cereals,rye,rye,11,110100000,110103000,110103000
11-01-03-002-0,temporary_crops,cereals,rye,rye,11,110100000,110103000,110103000
11-01-03-002-1,temporary_crops,cereals,rye,rye,11,110100000,110103000,110103000
11-01-03-002-2,temporary_crops,cereals,rye,rye,11,110100000,110103000,110103000
11-01-04-000-0,temporary_crops,cereals,oats,oats,11,110100000,110104000,110104000
11-01-04-000-1,temporary_crops,cereals,oats,oats,11,110100000,110104000,110104000
11-01-04-000-2,temporary_crops,cereals,oats,oats,11,110100000,110104000,110104000
11-01-04-000-3,temporary_crops,cereals,oats,oats,11,110100000,110104000,110104000
11-01-04-001-0,temporary_crops,cereals,oats,oats,11,110100000,110104000,110104000
11-01-04-001-1,temporary_crops,cereals,oats,oats,11,110100000,110104000,110104000
11-01-04-001-2,temporary_crops,cereals,oats,oats,11,110100000,110104000,110104000
11-01-04-002-0,temporary_crops,cereals,oats,oats,11,110100000,110104000,110104000
11-01-04-002-1,temporary_crops,cereals,oats,oats,11,110100000,110104000,110104000
11-01-04-002-2,temporary_crops,cereals,oats,oats,11,110100000,110104000,110104000
11-01-05-000-0,temporary_crops,cereals,other_cereals,other_cereals,11,110100000,110199999,110199999
11-01-05-000-1,temporary_crops,cereals,other_cereals,other_cereals,11,110100000,110199999,110199999
11-01-05-000-2,temporary_crops,cereals,other_cereals,other_cereals,11,110100000,110199999,110199999
11-01-06-000-0,temporary_crops,cereals,maize,maize,11,110100000,110106000,110106000
11-01-06-000-1,temporary_crops,cereals,maize,maize,11,110100000,110106000,110106000
11-01-06-000-2,temporary_crops,cereals,maize,maize,11,110100000,110106000,110106000
11-01-06-000-3,temporary_crops,cereals,maize,maize,11,110100000,110106000,110106000
11-01-07-000-0,temporary_crops,cereals,millet_sorghum,millet_sorghum,11,110100000,110107000,110107000
11-01-07-000-1,temporary_crops,cereals,millet_sorghum,millet_sorghum,11,110100000,110107000,110107000
11-01-07-000-2,temporary_crops,cereals,millet_sorghum,millet_sorghum,11,110100000,110107000,110107000
11-01-07-001-0,temporary_crops,cereals,millet_sorghum,millet_sorghum,11,110100000,110107000,110107000
11-01-07-002-0,temporary_crops,cereals,millet_sorghum,millet_sorghum,11,110100000,110107000,110107000
11-01-07-003-0,temporary_crops,cereals,millet_sorghum,millet_sorghum,11,110100000,110107000,110107000
11-01-07-004-0,temporary_crops,cereals,millet_sorghum,millet_sorghum,11,110100000,110107000,110107000
11-01-08-000-0,temporary_crops,cereals,rice,rice,11,110100000,110108000,110108000
11-01-09-000-0,temporary_crops,cereals,other_cereals,other_cereals,11,110100000,110199999,110199999
11-01-10-000-0,temporary_crops,cereals,other_cereals,other_cereals,11,110100000,110199999,110199999
11-01-11-000-0,temporary_crops,cereals,other_cereals,other_cereals,11,110100000,110199999,110199999
11-01-11-000-1,temporary_crops,cereals,other_cereals,other_cereals,11,110100000,110199999,110199999
11-01-11-001-0,temporary_crops,cereals,other_cereals,other_cereals,11,110100000,110199999,110199999
11-01-11-001-1,temporary_crops,cereals,other_cereals,other_cereals,11,110100000,110199999,110199999
11-01-11-001-2,temporary_crops,cereals,other_cereals,other_cereals,11,110100000,110199999,110199999
11-02-00-000-0,temporary_crops,pseudocereal,pseudocereal,pseudocereal,11,110200000,110200000,110200000
