,sample_id
0,ewoco-2182610_2
1,2018_AS_Remelgado_POLY_1111236_2201
2,ewoco-iiasa-10m-v1-2792537_3
3,2018_AS_Remelgado_POLY_1112057_2254
4,2020_NGA_WFP_POLY_1112897_2818
5,2018_AS_Remelgado_POLY_1111753_137
6,ewoco-water-v1-6154443_3
7,2019_SN_JECAM_CIRAD_POLY_111309_697
8,2018_BF_JECAM_CIRAD_POLY_111197_864
9,2019_AF_NHI-CROP-HARVEST_POLY_100415_1042
10,ewoco-iiasa-10m-v1-2797481_3
11,ewoco-iiasa-100m-v1-1681780_7
12,ewoco-1770977_3
13,2018_SN_JECAM_CIRAD_POLY_111744_760
14,ewoco-iiasa-10m-v1-2775227_2
15,senwapor1-02_1890
16,2018_AS_Remelgado_POLY_1111751_2722
17,2018_AS_Remelgado_POLY_1111844_3680
18,ewoco-iiasa-10m-v1-2775163_6
19,ewoco-1940231_3
20,2018_SN_JECAM_CIRAD_POLY_111280_1954
21,ewoco-water-v1-6039239_6
22,ewoco-water-v1-6177510_7
23,2018_AS_Remelgado_POLY_111244_3044
24,ewoco-1689800_3
25,2020_NGA_WFP_POLY_1112963_64
26,ewoco-water-v1-6143733_6
27,2018_AS_Remelgado_POLY_1111009_1951
28,2018_BF_JECAM_CIRAD_POLY_111170_1874
29,2020_NGA_WFP_POLY_1114301_2336
30,2020_SDN_WAPOR_2_POLY_111314_186
31,2018_AS_Remelgado_POLY_1111090_445
32,2018_AS_Remelgado_POLY_111652_1678
33,2018_SN_JECAM_CIRAD_POLY_111181_1584
34,ewoco-iiasa-10m-v1-1976583_7
35,ewoco-gmw-v1-7912969_2
36,2018_AS_Remelgado_POLY_1111875_1752
37,2020_SDN_WAPOR_2_POLY_111199_3010
38,ewoco-1771097_3
39,2020_NGA_WFP_POLY_1113334_1298
40,2019_SN_JECAM_CIRAD_POLY_111521_760
41,ewoco-1692727_3
42,ewoco-1976984_3
43,2018_BF_JECAM_CIRAD_POLY_111139_3165
44,2020_NGA_WFP_POLY_1112577_3009
45,2018_BF_JECAM_CIRAD_POLY_111914_1890
46,ewoco-iiasa-10m-v1-2147110_2
47,2019_AF_DE-WA-VAL1_POINT_10097_7
48,ewoco-urban-v1-5066592_3
49,ewoco-urban-v1-5037601_7
50,2020_NGA_WFP_POLY_1114725_1950
51,2018_BF_JECAM_CIRAD_POLY_1111001_2212
52,2021_AF_DE-WA-TRAIN1_POLY_100491_1954
53,ewoco-1686798_3
54,ewoco-water-v1-6162179_7
55,ewoco-iiasa-10m-v1-1687356_3
56,2018_BF_JECAM_CIRAD_POLY_11141_2790
57,2018_BF_JECAM_CIRAD_POLY_111473_2283
58,ewoco-1689459_3
59,ewoco-1977897_3
60,senwapor2-16_2017
61,2020_NGA_WFP_POLY_1111997_2151
62,2018_MLI_NHI-CROP-HARVEST_POLY_11033_1955
63,ewoco-1978472_3
64,ewoco-iiasa-10m-v1-1978139_6
65,ewoco-water-v1-6130024_7
66,ewoco-2172198_3
67,ewoco-1686593_3
68,2018_AS_Remelgado_POLY_1111388_1022
69,ewoco-2172197_3
70,ewoco-iiasa-10m-v1-2775064_3
71,ewoco-iiasa-10m-v1-2181510_2
72,ewoco-1686683_3
73,2020_NGA_WFP_POLY_1113528_4003
74,2018_BF_JECAM_CIRAD_POLY_1111075_1953
75,ewoco-water-v1-6048204_3
76,2018_AS_Remelgado_POLY_111555_1187
77,ewoco-water-v1-6077497_2
78,ewoco-iiasa-100m-v1-1687281_7
79,ewoco-iiasa-10m-v1-2758612_3
80,2020_SDN_WAPOR_2_POLY_11115_2014
81,2018_SN_JECAM_CIRAD_POLY_111765_3362
82,2021_AF_DE-WA-TRAIN1_POLY_100165_2272
