,sample_id
0,2018_MLI_NHI-CROP-HARVEST_POLY_11017_1635
1,ewoco-water-v1-6139098_7
2,2020_NGA_WFP_POLY_1114077_1950
3,ewoco-1940633_3
4,ewoco-water-v1-6034580_7
5,2019_MLI_NHI-CROP-HARVEST_POLY_11018_2207
6,2018_BF_JECAM_CIRAD_POLY_111651_836
7,2018_BF_JECAM_CIRAD_POLY_111510_928
8,ewoco-1978802_3
9,2018_AS_Remelgado_POLY_1111597_2410
10,ewoco-iiasa-100m-v1-1940735_2
11,2018_SN_JECAM_CIRAD_POLY_111744_760
12,ewoco-urban-v1-5052236_7
13,ewoco-1978116_3
14,ewoco-iiasa-100m-v1-1685920_7
15,ewoco-2183544_3
16,ewoco-1977346_2
17,ewoco-iiasa-10m-v1-1940314_6
18,2018_SN_JECAM_CIRAD_POLY_111798_2861
19,ewoco-iiasa-10m-v1-2754312_6
20,ewoco-water-v1-6138722_6
21,2018_AS_Remelgado_POLY_111534_1743
22,2019_SN_JECAM_CIRAD_POLY_111219_41
23,2020_NGA_WFP_POLY_1112815_2015
24,ewoco-urban-v1-5001890_7
25,2020_NGA_WFP_POLY_1111632_1254
26,ewoco-2183239_3
27,ewoco-iiasa-10m-v1-2792157_2
28,ewoco-1687949_3
29,ewoco-2172126_3
30,2018_AS_Remelgado_POLY_1111322_2208
31,2020_NGA_WFP_POLY_1113391_1825
32,ewoco-gmw-v1-7910277_6
33,2018_AS_Remelgado_POLY_111233_3778
34,ewoco-1978782_2
35,ewoco-1977087_3
36,ewoco-water-v1-6016691_3
37,2018_AS_Remelgado_POLY_111156_2526
38,2018_AS_Remelgado_POLY_1112020_1435
39,ewoco-water-v1-6166707_6
40,2020_NGA_WFP_POLY_1112325_2298
41,2018_SN_JECAM_CIRAD_POLY_111129_2217
42,2020_SDN_WAPOR_1_POLY_110144_2923
43,2020_NGA_WFP_POLY_1111848_2477
44,ewoco-gmw-v1-7910454_7
45,2019_SN_JECAM_CIRAD_POLY_11194_3969
46,ewoco-1687703_3
47,2020_SDN_WAPOR_1_POLY_11090_1563
48,ewoco-1976713_3
49,ewoco-iiasa-10m-v1-2791799_3
50,ewoco-1940270_3
51,2018_BF_JECAM_CIRAD_POLY_111831_2078
52,ewoco-1940285_3
53,2018_BF_JECAM_CIRAD_POLY_111657_651
54,ewoco-iiasa-10m-v1-2797449_7
55,ewoco-urban-v1-5023503_6
56,2020_SDN_WAPOR_1_POLY_110349_1953
57,ewoco-water-v1-6193053_7
58,2018_SN_JECAM_CIRAD_POLY_111767_1073
59,2020_NGA_WFP_POLY_111500_324
60,2018_AS_Remelgado_POLY_111732_2481
61,ewoco-urban-v1-5058553_7
62,ewoco-2165637_3
63,ewoco-1689361_3
64,2018_SN_JECAM_CIRAD_POLY_111519_2729
65,2020_NGA_WFP_POLY_1113236_1569
66,ewoco-water-v1-6195871_7
67,2018_AS_Remelgado_POLY_1112419_2019
68,2018_BF_JECAM_CIRAD_POLY_111154_2658
69,2018_AS_Remelgado_POLY_1112057_1996
70,ewoco-1688729_3
71,ewoco-water-v1-6088182_6
72,ewoco-2198749_3
73,ewoco-1978914_3
74,ewoco-1940523_3
75,ewoco-iiasa-10m-v1-2754026_7
76,2020_NGA_WFP_POLY_1111707_1828
77,2020_SDN_WAPOR_1_POLY_110272_2018
78,2018_SN_JECAM_CIRAD_POLY_111278_2018
79,2018_AS_Remelgado_POLY_1111226_1637
80,2018_AS_Remelgado_POLY_111468_1056
81,2018_AS_Remelgado_POLY_111129_3312
82,ewoco-1681890_3
83,2020_NGA_WFP_POLY_1112731_1636
84,2018_SN_JECAM_CIRAD_POLY_111619_2209
85,ewoco-iiasa-10m-v1-2758603_2
86,ewoco-water-v1-6186865_7
87,2019_MLI_NHI-CROP-HARVEST_POLY_11025_2013
88,ewoco-1976918_3
89,ewoco-2177110_3
90,2018_AS_Remelgado_POLY_1112629_1748
91,2020_NGA_WFP_POLY_1114436_2019
92,ewoco-1688011_3
93,ewoco-1978239_3
94,ewoco-iiasa-10m-v1-2775159_2
95,2018_AS_Remelgado_POLY_1112564_1961
96,ewoco-1687340_3
97,2020_NGA_WFP_POLY_1112007_3492
98,ewoco-1978464_3
99,2021_AF_DE-WA-TRAIN1_POLY_100308_2018
100,ewoco-iiasa-10m-v1-1978469_7
101,2018_BF_JECAM_CIRAD_POLY_111597_2143
102,ewoco-2181235_3
103,2018_BF_JECAM_CIRAD_POLY_11168_538
104,ewoco-iiasa-10m-v1-2781664_3
105,2018_AS_Remelgado_POLY_1111279_807
106,ewoco-iiasa-10m-v1-1977588_3
107,2019_SN_JECAM_CIRAD_POLY_111151_2276
108,ewoco-1939670_3
109,ewoco-1686442_3
110,ewoco-iiasa-10m-v1-2758868_6
111,2021_AF_DE-WA-TRAIN1_POLY_1001096_2082
112,2018_BF_JECAM_CIRAD_POLY_111867_2545
113,ewoco-1977774_3
114,ewoco-water-v1-6021471_6
115,2020_NGA_WFP_POLY_111573_1893
116,2018_AS_Remelgado_POLY_1111384_3013
117,2020_ETH_NHI-CROP-HARVEST_POINT_100412_2866
118,2020_NGA_WFP_POLY_1113593_2016
119,ewoco-1976792_3
120,ewoco-urban-v1-5043184_7
121,2018_AS_Remelgado_POLY_1112439_3788
122,ewoco-1940081_3
123,ewoco-iiasa-10m-v1-2784375_7
124,ewoco-1939307_3
125,2020_NGA_WFP_POLY_1112123_1726
