name,landcover,croptype,ec_code
Unknown,0,0,00-00-00-000-0
Cereals,11,1000,11-01-00-000-0
Wheat,11,1100,11-01-01-000-0
Winter wheat,11,1110,11-01-01-000-1
Spring wheat,11,1120,11-01-01-000-2
Maize,11,1200,11-01-06-000-0
Rice,11,1300,11-01-08-000-0
Sorghum,11,1400,11-01-07-003-0
Barley,11,1500,11-01-02-000-0
Winter barley,11,1510,11-01-02-000-1
Spring barley,11,1520,11-01-02-000-2
Rye,11,1600,11-01-03-000-0
Winter rye,11,1610,11-01-03-000-1
Spring rye,11,1620,11-01-03-000-2
Oats,11,1700,11-01-04-000-0
Millets,11,1800,11-01-07-001-0
Other cereals,11,1900,11-01-00-000-0
Winter cereal,11,1910,11-01-00-000-1
Spring cereal,11,1920,11-01-00-000-2
Vegetables and melons,11,2000,11-03-00-000-0
Leafy or stem vegetables,11,2100,11-03-04-000-0
Artichokes,11,2110,11-03-04-002-0
Asparagus,11,2120,11-03-04-003-0
Cabages,11,2130,11-03-06-000-0
Cauliflowers & brocoli,11,2140,11-03-06-002-0
Lettuce,11,2150,11-03-08-011-0
Spinach,11,2160,11-03-08-008-0
Chicory,11,2170,11-03-08-002-0
Other leafy/stem vegetables,11,2190,11-03-08-000-0
Fruit-bearing vegetables,11,2200,11-03-01-000-0
Cucumbers,11,2210,11-03-02-001-0
Eggplants,11,2220,11-03-00-009-0
Tomatoes,11,2230,11-03-00-010-0
Watermelons,11,2240,11-03-02-005-0
Cantaloupes and other melons,11,2250,11-03-02-003-0
"Pumpkin, squash and gourds",11,2260,11-03-02-004-0
Other fruit-bearing vegetables,11,2290,11-03-01-000-0
"Root, bulb or tuberous vegetables",11,2300,11-03-09-000-0
Carrots,11,2310,11-03-09-004-0
Turnips,11,2320,11-03-09-007-0
Garlic,11,2330,11-03-11-002-0
Onions and shallots,11,2340,11-03-11-007-0
Leeks & other alliaceous vegetables,11,2350,11-03-11-003-0
"Other root, bulb or tuberous vegetables",11,2390,11-03-09-000-0
Mushrooms and truffles,11,2400,11-04-00-000-0
Other vegetables,11,2900,11-03-00-000-0
Fruit and nuts,12,3000,12-01-00-000-0
Tropical and subtropical fruits,12,3100,12-01-02-000-0
Avocados,12,3110,12-01-02-001-0
Bananas & plantains,12,3120,12-01-02-002-0
Dates,12,3130,12-01-02-003-0
Figs,12,3140,12-01-01-006-0
Mangoes,12,3150,12-01-02-004-0
Papayas,12,3160,12-01-02-005-0
Pineapples,12,3170,12-01-02-006-0
Other tropical and subtropical fruits,12,3190,12-01-02-000-0
Citrus fruits,12,3200,12-01-03-000-0
