ewoc_code,cropland_name,landcover_name,cropgroup_name,croptype_name,worldcereal_croptype_name,cropland_label,landcover_label,cropgroup_label,croptype_label,worldcereal_croptype_label
00-00-00-000-0,unknown,unknown,unknown,unknown,unknown,-1,-1,-1,-1,-1
10-00-00-000-0,cropland_unspecified,cropland_unspecified,cropland_unspecified,cropland_unspecified,cropland_unspecified,-1,-1,-1,-1,-1
11-00-00-000-0,temporary_crops,temporary_crops,temporary_crops,temporary_crops,temporary_crops,11,110000000,110000000,110000000,110000000
11-01-00-000-0,temporary_crops,cereals,unspecified_cereal,unspecified_cereal,cereals,11,110100000,110100000,110100000,110100000
11-01-00-000-1,temporary_crops,cereals,unspecified_cereal,unspecified_cereal,cereals,11,110100000,110100000,110100000,110100000
11-01-00-000-2,temporary_crops,cereals,unspecified_cereal,unspecified_cereal,cereals,11,110100000,110100000,110100000,110100000
11-01-01-000-0,temporary_crops,cereals,wheat,unspecified_wheat,wheat,11,110100000,110101000,110101000,110101000
11-01-01-000-1,temporary_crops,cereals,wheat,unspecified_wheat,wheat,11,110100000,110101000,110101000,110101000
11-01-01-000-2,temporary_crops,cereals,wheat,unspecified_wheat,wheat,11,110100000,110101000,110101000,110101000
11-01-01-000-3,temporary_crops,cereals,wheat,unspecified_wheat,wheat,11,110100000,110101000,110101000,110101000
11-01-01-001-0,temporary_crops,cereals,wheat,common_soft_wheat,wheat,11,110100000,110101000,110101001,110101000
11-01-01-001-1,temporary_crops,cereals,wheat,common_soft_wheat,wheat,11,110100000,110101000,110101001,110101000
11-01-01-001-2,temporary_crops,cereals,wheat,common_soft_wheat,wheat,11,110100000,110101000,110101001,110101000
11-01-01-002-0,temporary_crops,cereals,wheat,durum_hard_wheat,wheat,11,110100000,110101000,110101002,110101000
11-01-01-002-1,temporary_crops,cereals,wheat,durum_hard_wheat,wheat,11,110100000,110101000,110101002,110101000
11-01-01-002-2,temporary_crops,cereals,wheat,durum_hard_wheat,wheat,11,110100000,110101000,110101002,110101000
11-01-01-003-0,temporary_crops,cereals,wheat,khorasan_wheat,wheat,11,110100000,110101000,110101003,110101000
11-01-01-003-1,temporary_crops,cereals,wheat,khorasan_wheat,wheat,11,110100000,110101000,110101003,110101000
11-01-01-003-2,temporary_crops,cereals,wheat,khorasan_wheat,wheat,11,110100000,110101000,110101003,110101000
11-01-01-004-0,temporary_crops,cereals,wheat,spelt,wheat,11,110100000,110101000,110101004,110101000
11-01-01-004-1,temporary_crops,cereals,wheat,spelt,wheat,11,110100000,110101000,110101004,110101000
11-01-01-004-2,temporary_crops,cereals,wheat,spelt,wheat,11,110100000,110101000,110101004,110101000
11-01-01-005-0,temporary_crops,cereals,wheat,emmer,wheat,11,110100000,110101000,110101005,110101000
